1.0	0:11 (1.0) 	1:1598539 (1.0) 	2:988143 (1.0) 	
0.9999893875120998	0:11 (1.0) 	1:1598539 (1.0) 	2:1598063 (1.0) 	
0.026994862559304535	0:5104 (1.0) 	1:778232 (1.0) 	2:3569181 (1.0) 	
0.026994862270268666	0:5104 (1.0) 	1:778232 (1.0) 	2:3672641 (1.0) 	
0.026994862270268666	0:5104 (1.0) 	1:778232 (1.0) 	2:3671011 (1.0) 	
0.026994862230264236	0:5104 (1.0) 	1:778232 (1.0) 	2:3671098 (1.0) 	
0.026994862029036944	0:5104 (1.0) 	1:778232 (1.0) 	2:3671007 (1.0) 	
0.026994862017477576	0:5104 (1.0) 	1:778232 (1.0) 	2:3665959 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:3569063 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:3671139 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:4798320 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:4785300 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:4786654 (1.0) 	
0.026994861994339165	0:5104 (1.0) 	1:778232 (1.0) 	2:6246354 (1.0) 	
0.026341410756161858	0:5104 (1.0) 	1:778232 (1.0) 	2:354762 (1.0) 	
0.025124770665633255	0:5104 (1.0) 	1:778232 (1.0) 	2:108627 (1.0) 	
0.02320960433195186	0:11 (1.0) 	1:1598539 (1.0) 	2:1598058 (1.0) 	
0.023209600514501452	0:11 (1.0) 	1:1598539 (1.0) 	2:1597219 (1.0) 	
0.023209597624904776	0:11 (1.0) 	1:1598539 (1.0) 	2:1597223 (1.0) 	
0.023209597081593966	0:11 (1.0) 	1:1598539 (1.0) 	2:1598333 (1.0) 	
0.022720818057535126	0:11 (1.0) 	1:1598539 (1.0) 	2:1610959 (1.0) 	
0.022720818039003773	0:11 (1.0) 	1:1598539 (1.0) 	2:1614587 (1.0) 	
0.02272081784115267	0:11 (1.0) 	1:1598539 (1.0) 	2:1614496 (1.0) 	
0.022720817767862105	0:11 (1.0) 	1:1598539 (1.0) 	2:1597214 (1.0) 	
0.02272081772497861	0:11 (1.0) 	1:1598539 (1.0) 	2:1611111 (1.0) 	
0.022720817656714336	0:11 (1.0) 	1:1598539 (1.0) 	2:1540597 (1.0) 	
0.022720817430259155	0:11 (1.0) 	1:1598539 (1.0) 	2:1610968 (1.0) 	
0.022720816588444565	0:11 (1.0) 	1:1598539 (1.0) 	2:1598060 (1.0) 	
0.022720816534964862	0:11 (1.0) 	1:1598539 (1.0) 	2:1465105 (1.0) 	
0.022720815918233567	0:11 (1.0) 	1:1598539 (1.0) 	2:1614515 (1.0) 	
0.022720814891857788	0:11 (1.0) 	1:1598539 (1.0) 	2:1598329 (1.0) 	
0.022720814561784316	0:11 (1.0) 	1:1598539 (1.0) 	2:1614574 (1.0) 	
0.022720813815788617	0:11 (1.0) 	1:1598539 (1.0) 	2:1680252 (1.0) 	
0.022720813283299456	0:11 (1.0) 	1:1598539 (1.0) 	2:1598606 (1.0) 	
0.022720812723010558	0:11 (1.0) 	1:1598539 (1.0) 	2:1597721 (1.0) 	
0.02003551265073434	0:5104 (1.0) 	1:778232 (1.0) 	2:33446 (1.0) 	
0.017420088127423763	0:5104 (1.0) 	1:778103 (1.0) 	2:3658620 (1.0) 	
0.012891138844438365	0:5104 (1.0) 	1:778103 (1.0) 	2:372118 (1.0) 	
0.006404049358881066	0:11 (1.0) 	1:1598539 (1.0) 	2:19729 (1.0) 	
0.0020174814713477597	0:5104 (1.0) 	1:778232 (1.0) 	2:278186 (1.0) 	
0.00181508456978315	0:11 (1.0) 	1:1598539 (1.0) 	2:997 (1.0)
