partner_id
p242
p243
p169
p88
p246
p247
p244
p245
p163
p82
p81
p160
p87
p240
p85
p84
p241
p210
p213
p199
p162
p216
p161
p98
p99
p80
p259
p258
p255
p254
p257
p93
p96
p97
p10
p11
p13
p15
p16
p17
p18
p19
p164
p4
p76
p228
p277
p9
p179
p220
p222
p224
p136
p226
p227
p25
p24
p27
p26
p21
p20
p23
p22
p72
p73
p70
p71
p156
p157
p154
p155
p152
p153
p150
p151
p158
p159
p112
p135
p239
p238
p130
p131
p132
p133
p138
p231
p230
p237
p139
p264
p176
p32
p33
p30
p36
p37
p34
p77
p108
p141
p140
p143
p142
p145
p144
p147
p146
p149
p148
p166
p127
p126
p125
p124
p123
p122
p121
p120
p63
p129
p128
p62
p49
p48
p47
p46
p45
p44
p43
p42
p41
p40
p248
p31
p66
p105
p229
p261
p249
p113
p110
p111
p116
p117
p115
p101
p118
p119
p109
p225
p60
p58
p59
p54
p55
p56
p57
p50
p51
p52
p53
p2
p3
p167
p1
p6
p7
p5
p8
p285
p282
p206
p207
p204
p205
p202
p203
p200
p201
p208
p165
p61
p265
p266
p260
p64
p67
p263
p104
p107
p106
p268
p269
p102
p177
p65
p211
p90
p198
p212
p215
p217
p91
p219
p218
p190
p92
p178
p276
p275
p274
p273
p272
p271
p170
p171
p172
p173
p174
p175
p78
p79
p168
p253
p100
p185
p184
p187
p186
p181
p180
p183
p182
p189
p188
p74
p137
