partner_id	num_loans	tot_amt	avg_amt	tot_borrowers	avg_num_borrowers_per_loan	avg_num_lenders_per_loan	default_rate	delinquency_rate
p242	-0.511010109803	-0.606695661661	0.748562705636	0.0208749110441	0.510808379925	1.00127049791	-2.0	-2.0
p243	0.167930103513	-0.303915900073	-0.026600685586	-0.263515783031	-1.89568458123	0.229053530587	-2.0	-1.11569740414
p169	0.966130079328	0.869638772348	1.02895520912	0.672748062545	-2.0	1.0384129535	-1.99294471456	-1.93282114208
p88	1.67077123817	0.960937476415	-0.311886119336	1.52945926767	-1.38623668893	-0.263311412442	-2.0	-1.99861882355
p246	-0.448066389321	-0.828662310234	0.0751826762184	-0.640355334885	-1.85626868533	-0.215075620304	-2.0	-2.0
p247	0.447440223196	-0.0703647729605	-0.0837407892909	0.652625957865	0.817273008797	0.26307216817	-2.0	-1.93308438211
p244	-0.672222851145	-1.67614675368	-1.46720519934	-1.81192356504	-2.0	-0.811240204737	-2.0	-2.0
p245	1.05986634729	-0.0516723701877	-1.39503464196	0.593399230096	-2.0	-1.46806063532	-2.0	-2.0
p163	1.63965650876	0.910161121218	-0.36513328294	1.56615801832	-0.992832755091	-0.31239193969	-1.68412028073	-1.420970534
p82	1.01280471932	0.417196416362	-0.162852625838	1.395422217	0.295621460847	-0.077151774673	-1.98281034927	-1.97520060168
p81	1.74912524869	1.00380737355	-0.382274402729	1.35350243617	-2.0	-0.292063137775	-1.92037040196	-1.66520362838
p160	0.470107062642	0.721577353063	1.77124203427	1.67439044666	3.14574802698	1.9047245834	-2.0	-1.95639206924
p87	1.0595718287	1.13821474215	1.46813655788	2.00522015458	2.44674398384	1.59936877189	-1.91272732073	-1.8725184214
p240	0.199776356145	-0.0410934928701	0.53514699768	-0.0343170212903	-2.0	0.801609382373	-2.0	-1.57814066985
p85	1.20064077484	0.553024277559	-0.252067313507	1.33924990385	-0.359984614771	-0.13342620694	-2.0	-2.0
p84	1.43380856468	1.31559138934	1.06607815651	2.21184498456	1.88729656647	1.1595620567	-1.77374429449	-1.79544494045
p241	0.0742338477146	-0.214749486479	0.395404707585	0.317974716912	-0.388422322254	0.237891590637	-2.0	-2.0
p210	-0.615165622451	-0.392191146602	1.49525755037	-0.751657307873	-2.0	1.86093124803	-2.0	-2.0
p213	-2.57979525365	-2.70362909148	0.285432135323	-2.13344235424	-2.0	0.0786594312037	-2.0	1.88110583738
p199	0.750324423904	0.194753328761	-0.116703628021	0.428942260496	-2.0	-0.205794388703	-1.90447650817	-1.68992496639
p162	0.49778465013	0.601559317302	1.42121985045	1.71885665096	3.45834989317	1.67198651103	-1.98166202905	-1.68252712987
p216	-0.0213407156798	0.140054043143	1.4606146433	0.214860388496	-0.635888682849	1.62986344433	-2.0	-1.04803064366
p161	1.42866507976	0.798508649907	-0.166480444512	1.23011985089	-1.5239424036	-0.0108612425607	-2.0	-1.91742328006
p98	1.82755178802	1.03286960876	-0.486040486263	1.47927551364	-1.99293903214	-0.476630575527	-1.98009209314	-1.89552733003
p99	1.04765597364	0.398866103964	-0.284130617138	0.83636608928	-1.93194108697	-0.235754798054	-2.0	1.93023375938
p80	1.23778227026	0.999875115966	0.740672031911	0.946689778196	-2.0	0.83773295518	-1.96092693771	-1.53325263132
p259	-0.286956745106	-1.2304100593	-1.24809347829	-0.347537672145	-2.0	-1.18808328639	-2.0	5.42954546014
