user	credit_mean	credit_std	credit_interarr_mean	credit_interarr_std	debit_mean	debit_std	debit_interarr_mean	debit_interarr_std	perp_in	perp_out
1	-1.995406705032169	-1.9547612510170362	-1.8298138672401676	-1.174889560899112	1.9906175277907445	-1.9844159961054482	-1.9511492453184691	-1.7336605655175101	-0.8406825268410639	-1.3347368015078602
7	-1.684635630326158	-1.0079154479388208	-1.8396893358558195	-1.5639186065379223	1.086244341531253	-0.7302695311745192	0.09955761029851565	0.8060479434204418	17.499886791100728	2.1536439053918537
11	-1.4009052172219367	1.571717237195955	-1.9856856505696978	-1.971164900924261	1.1710832319835893	2.0093675146742735	-1.9469156391338542	-1.8983533670781068	59.3786778812407	2.579226745934202
19	-1.2933908156127898	-0.17084445775015553	-1.7859971353947257	-1.2556243233009496	1.0982151260087434	0.13605832622204916	-1.8802702988707312	-1.7143374509876828	-1.8206181648348787	-1.7896379898784793
20	1.5734013535986155	12.767510438756313	-1.7859682815946223	-1.690573943656345	-0.3433935046594368	1.2086482040592414	-1.4172596364617402	-1.1682419332100373	7.325638598291411	2.003773673498922
26	-1.2279775061799467	1.5893249124912143	-1.9990593881424379	-1.9855701132456387	1.2284574376738466	0.6920833284924168	-1.9989966591536876	-1.9854176519378135	-2.0	-1.997305727894113
27	18.847384792537333	74.20932057817642	-1.9237775705729308	-1.8405721700716908	-54.514118280732994	91.26340634760135	-1.81697884069802	-1.7559110280576768	16.296375095699887	2.8320886938139656
28	-0.6102161013368687	0.7772735893891749	-1.9978094194961664	-1.9904796084831402	0.8151606687331208	-0.08403686276194329	-1.9982241854838263	-1.9915955075006757	-1.889609798537348	-1.471486003144255
29	-1.378938814319374	-0.2229352026618489	-1.9737363793945362	-1.9441867138391347	0.7866153132610527	1.2390804923401926	-1.9121128504010108	-1.6998790058375606	17.739738968197777	0.541932677098386
39	-1.9654065933720424	-1.4321216574603162	-1.9997199438643036	-1.9921677909623452	1.957526820270856	-1.528310036634054	-1.999534290818474	-1.9887623859797345	3.2107802225914175	1.4560265462307473
46	4.864238528530494	26.127339166692686	-1.6429945827536188	-1.5455659015207688	1.7328098410350594	-1.5962337510893516	-1.3077828283993627	-1.2468479757565347	6.207266787644279	-1.3901481106165137
53	-1.7385278513703832	-1.5388745045110575	-1.892462411629991	-1.824559172943537	1.7168823839693144	-1.6315377313337702	-1.9098139913571741	-1.83364234407628	-1.5793657587986911	-1.6931293878056874
55	-1.9733114518431247	-1.9640461285539519	-2.0	-2.0	1.983515756349545	-1.9866258286600151	-2.0	-2.0	-2.0	-2.0
74	-1.983817101470793	-1.5968208364843857	-1.97183539352214	-1.8695895601186576	0.9159689652171614	0.18611963682689198	-1.053046909250328	-0.7151300791221901	76.65742845990356	3.6834161849014118
82	-1.966704856637822	-1.6626821056674816	-1.46561365077535	-1.3693039371047204	1.8366528115353387	-1.8205257752761341	0.04588630717521696	-0.4265589946691085	8.759914385191816	-0.8787784813983824
96	-1.9592446100856713	-1.9549161719618218	4.998904709748087	5.1849356256613275	1.9905892086559067	-1.9739412396263172	-2.0	-2.0	-1.4058870796861773	-0.6228354042213029
114	-1.8818363056889011	-1.6176518378584845	-1.9987611395919003	-1.9779707959140669	1.877133847610867	-1.7120872507198261	-1.9988730025075145	-1.982095896578306	-1.64974189017759	-1.4811099951143867
115	-1.8984212027452907	-1.7884129559586883	-1.9949663256507655	-1.9311516117378442	1.9024559376656618	-1.7156491795414661	-1.9943914173729589	-1.930205145014162	-1.771937820596083	-1.6913395689177977
116	-1.5948772038952161	-2.0	-2.0	-2.0	1.9322791508125379	-1.8033259714876861	-1.999202901438763	-1.9943438682370063	-2.0	2.7747506888236564
151	-1.7795365400745684	-1.5416034198521793	-1.4676889375684552	-1.3565770940256676	1.7849436974283084	-1.6104548694194107	-1.726435773783428	-1.5313034806046444	-2.0	-2.0
153	-1.983703510429322	-1.957283219743764	-1.9979210659541824	-1.9675991532508594	1.9929705475770882	-1.9873083616357878	-2.0	-2.0	-1.9951431123472656	-2.0
200	-1.9885399385456493	-1.9824226297539198	-1.9971288507959466	-1.9809614490953469	1.987546504799452	-1.963596174694868	-1.99767903654228	-1.9832511299587925	-1.8104131059671542	-1.4329680185643825
209	-1.81893475795211	-1.6345534470193264	-0.7748396182131116	-0.9224933200922688	1.5527196235693659	-1.3257967045069339	-0.7154756685664172	-0.1083133023182183	-0.7750110281623456	-1.2420887756312455
211	-1.9118253849565219	-1.7885231659080842	-1.9119106988883967	-1.8109152742748569	1.9499889572650775	-1.773949958773308	-1.925134050517654	-1.6838287191102401	-1.6280975446513117	-1.785731507909605
309	-1.6831236215442926	-1.3091841271635718	0.6958426591742477	0.4523513390908229	-1.0548883024239308	1.6350209689279744	10.983779044278835	9.34883242009411	2.9138477246149264	-0.09684986815177986
333	-1.7845745615530886	-1.1273387831706307	-1.9655248763904756	-1.8653266289947208	1.6720458190418201	-0.39681192517980435	-1.568539643215474	-1.4488520167702037	-0.05141687934344453	-1.6723976209562443
366	-1.9869264246070426	-1.9782207814193329	-1.9838208394260013	-1.7930222485380922	1.7245153446279422	-1.494772413397807	-1.9109702222372102	-1.7190883704412885	-1.684133907859788	-1.0077138103835943
378	-1.1946156973395894	-1.120068283266987	-1.6415413720999699	-1.837525980564575	1.5059197981330668	-1.626685976903624	5.10214818062254	3.570627063364442	-1.9061055584856368	-0.9882788806647625
389	-1.9890086078747944	-1.9811378239897346	-1.786418400876232	-1.6593680691651675	1.9902149259972564	-1.9908197339097677	-1.9173294920774098	-1.8941549490172063	-1.2237992615582993	-1.2834598666992814
402	-1.953732052971994	-1.8334273936799308	-2.0	-2.0	1.9468944711689171	-1.8702406867845258	-2.0	-2.0	-2.0	-2.0
